Gender,Age,Education,MaritalStatus,FamilyCount,ChildCount,IncomeType,IncomeClass,Occupation,OrgType,HouseOwnYN,DwellingType,HousingType,ResidenceClass,CarOwnedYN,Default,ActiveLoanYN,LoanType,ApplWeek,ApplHour,Accompany,CarPrice,Deposit,LoanTerm,LoanRemainTerm,InterestType,InterestRate,LoanAmount,InstallAmount,LoanRemainAmount,HomeAddMatchedYN,WorkAddMatchedYN,InquiryCount,IdChangedYears,InfoChangedYears,PhoneChangedYears,ScoreA,ScoreB,ScoreC,loan_months,loan_start_date
남성,49.0,고등학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),화,9,단독,43000000,20,36,10,고정,5.49,34400000,1008015.6,10080156.0,Y,Y,5,4.0,2.9,1.0,,0.455,0.555,26,2023-02-01
남성,49.7,전문대,이혼,3,2,퇴직,5000만원~1억원 미만,기타,공공,Y,자가,아파트,양호,N,0,N,할부금융(장/단기),금,11,단독,25000000,30,36,28,변동,4.39,17500000,507451.4,14208639.2,Y,Y,0,4.5,26.1,0.0,0.507,0.407,0.567,8,2024-08-01
남성,49.9,고등학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,서비스,N,전세,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),수,11,단독,43000000,20,48,3,변동,4.43,34400000,748415.0,2245245.0,Y,Y,2,4.9,23.0,5.3,,0.452,0.512,45,2021-07-01
남성,50.0,전문대,결혼,3,1,퇴직,5000만원~1억원 미만,기타,공공,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),월,16,단독,55000000,20,36,18,변동,4.39,44000000,1275877.8,22965800.4,Y,Y,1,4.9,7.2,0.0,,0.608,0.668,18,2023-10-01
남성,50.3,전문대,독신,2,1,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,연립/다세대/빌라,양호,Y,0,N,할부금융(장/단기),금,9,단독,15000000,10,24,11,혼합,6.25,13500000,597656.3,6574219.3,Y,Y,1,5.2,7.0,4.0,,0.672,0.592,13,2024-03-01
남성,51.3,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,기타,Y,자가,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),화,16,단독,20000000,10,24,4,변동,4.3,18000000,782250.0,3129000.0,Y,Y,3,6.3,6.5,2.0,0.808,0.648,,20,2023-08-01
남성,51.4,대학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,양호,N,0,Y,할부금융(장/단기),화,16,단독,20000000,20,36,13,변동,4.39,16000000,463955.6,6031422.8,Y,Y,0,6.3,25.5,0.1,,0.531,0.711,23,2023-05-01
남성,51.5,고등학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,운송,N,전세,오피스텔,양호,Y,0,Y,할부금융(장/단기),월,18,단독,43000000,20,48,19,변동,4.43,34400000,748415.0,14219885.0,Y,Y,1,6.4,25.7,1.0,,0.635,0.475,29,2022-11-01
남성,52.4,고등학교,독신,1,0,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),목,14,배우,18000000,10,24,8,변동,4.3,16200000,704025.0,5632200.0,Y,Y,0,7.3,29.5,0.0,,0.473,0.653,16,2023-12-01
남성,52.5,대학교,결혼,5,3,퇴직,5000만원~1억원 미만,기타,공공,N,월세,아파트,평균,N,0,Y,할부금융(장/단기),수,13,단독,43000000,20,36,7,변동,4.39,34400000,997504.4,6982530.8,Y,Y,0,0.0,27.7,3.9,,0.182,0.262,29,2022-11-01
