Gender,Age,Education,MaritalStatus,FamilyCount,ChildCount,IncomeType,IncomeClass,Occupation,OrgType,EmployedYears,HouseOwnYN,DwellingType,HousingType,ResidenceClass,CarOwnedYN,ActiveLoanYN,LoanType,ApplWeek,ApplHour,Accompany,CarPrice,Deposit,LoanTerm,LoanRemainTerm,InterestType,LoanAmount,LoanRemainAmount,HomeAddMatchedYN,WorkAddMatchedYN,InquiryCount,IdChangedYears,InfoChangedYears,PhoneChangedYears
여성,25.0,대학교,독신,1,0,사업,3000만원 미만,영업,무역,1.8,Y,자가,아파트,양호,N,Y,할부금융(장/단기),금,12,단독,30000000,30,48,48,혼합,21000000,21000000,Y,Y,4,4.6,25.0,5.4
여성,26.0,대학교,독신,1,0,서비스,3000만원~5000만원 미만,기타,군/경,3.5,N,전세,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),월,15,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,0,5.7,18.1,6.5
남성,26.2,대학원,독신,1,0,서비스,3000만원~5000만원 미만,기타,서비스,1.7,Y,자가,아파트,양호,N,Y,할부금융(장/단기),목,11,단독,20000000,0,12,12,변동,20000000,20000000,N,N,3,4.5,4.2,2.2
남성,27.0,대학교,결혼,2,0,사업,5000만원~1억원 미만,일반업무,은행/보험,0.7,N,월세,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),목,9,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,5,6.9,2.6,0.0
여성,27.1,고등학교,독신,1,0,서비스,3000만원~5000만원 미만,운전,자영업,1.1,Y,자가,단독주택,양호,Y,N,할부금융(장/단기),수,12,단독,30000000,30,48,48,혼합,21000000,21000000,Y,Y,1,5.3,10.2,0.1
남성,27.9,대학교,독신,1,0,서비스,3000만원 미만,기타,일반,0.1,N,월세,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),화,9,단독,15000000,30,48,48,변동,10500000,10500000,Y,N,1,1.4,21.2,4.8
남성,27.9,대학교,독신,1,0,서비스,5000만원~1억원 미만,개인서비스,자영업,1.5,N,전세,아파트,양호,N,Y,할부금융(장/단기),수,9,단독,20000000,20,12,12,변동,16000000,16000000,Y,Y,0,7.8,2.2,0.0
남성,28.1,중학교,독신,1,0,서비스,3000만원~5000만원 미만,회계,자영업,3.4,N,전세,아파트,양호,N,Y,할부금융(장/단기),수,16,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,2,8.0,5.2,6.7
남성,28.2,고등학교,독신,1,0,사업,3000만원 미만,기타,기타,3.7,N,반전세,오피스텔,양호,N,N,할부금융(장/단기),금,15,단독,20000000,20,36,36,고정,16000000,16000000,N,N,2,8.1,12.9,0.0
여성,28.5,전문대,독신,1,0,서비스,3000만원 미만,영업,자영업,2.0,N,반전세,단독주택,평균,N,Y,할부금융(장/단기),월,15,단독,55000000,0,12,12,고정,55000000,55000000,Y,Y,0,1.5,1.5,1.1
남성,28.6,중학교,독신,1,0,서비스,3000만원 미만,제약,제약,1.7,N,월세,아파트,양호,N,N,할부금융(장/단기),금,15,단독,20000000,30,36,36,변동,14000000,14000000,Y,Y,1,8.4,11.4,0.0
남성,28.8,대학교,결혼,2,0,기타,3000만원~5000만원 미만,전문기술,일반,3.8,N,전세,아파트,평균,N,Y,할부금융(장/단기),수,17,단독,25000000,20,48,48,변동,20000000,20000000,Y,N,1,6.4,1.5,6.4
남성,29.0,전문대,결혼,3,1,공무원,5000만원~1억원 미만,기타,유치원,0.5,N,월세,단독주택,양호,N,Y,할부금융(장/단기),화,11,단독,52000000,0,12,12,변동,52000000,52000000,Y,Y,0,0.3,12.6,0.0
남성,29.0,고등학교,결혼,3,1,서비스,3000만원 미만,일반업무,공공,8.2,N,반전세,아파트,평균,N,Y,할부금융(장/단기),월,9,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,0,9.0,0.8,3.8
남성,29.1,대학원,독신,1,0,서비스,3000만원~5000만원 미만,인사담당,교육,0.1,Y,자가,아파트,양호,Y,Y,오토론,월,14,단독,25000000,20,48,48,변동,20000000,20000000,Y,N,0,9.1,11.2,1.8
남성,29.2,대학교,결혼,2,0,사업,5000만원~1억원 미만,비서직,자영업,2.2,Y,가족공동,아파트,양호,Y,Y,할부금융(장/단기),화,15,단독,25000000,10,24,24,변동,22500000,22500000,Y,N,0,0.0,13.5,0.5
남성,29.9,대학원,독신,1,0,사업,3000만원 미만,IT개발/관리,일반,0.8,Y,자가,아파트,최상,N,Y,할부금융(장/단기),수,18,배우,20000000,30,48,48,변동,14000000,14000000,Y,N,2,3.4,3.1,0.0
남성,30.2,대학교,독신,1,0,사업,3000만원~5000만원 미만,매니저,자영업,1.1,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),화,10,친지,55000000,20,36,36,변동,44000000,44000000,Y,Y,0,1.0,14.5,0.0
남성,30.3,전문대,결혼,3,1,서비스,5000만원~1억원 미만,일반업무,자영업,0.2,N,월세,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),목,16,단독,52000000,0,12,12,변동,52000000,52000000,Y,Y,1,5.2,2.4,2.3
남성,30.3,대학교,독신,1,0,서비스,3000만원~5000만원 미만,매니저,일반,3.0,N,전세,단독주택,양호,Y,Y,할부금융(장/단기),화,16,단독,52000000,20,12,12,변동,41600000,41600000,N,Y,2,4.5,4.5,4.3
남성,30.4,전문대,독신,2,1,서비스,3000만원~5000만원 미만,기타,자영업,0.3,Y,자가,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),월,17,단독,25000000,20,36,36,변동,20000000,20000000,Y,N,2,0.7,5.0,0.5
남성,30.6,전문대,독신,1,0,서비스,3000만원~5000만원 미만,기타,기타,3.5,Y,자가,아파트,평균,Y,N,할부금융(장/단기),월,9,단독,30000000,30,48,48,변동,21000000,21000000,Y,Y,0,2.9,6.3,0.9
남성,30.6,전문대,독신,1,0,공무원,3000만원 미만,일반업무,유치원,0.2,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,9,단독,30000000,20,36,36,변동,24000000,24000000,Y,Y,1,9.3,14.5,4.7
남성,30.7,전문대,결혼,3,1,서비스,3000만원~5000만원 미만,운전,기타,3.1,Y,자가,오피스텔,양호,N,Y,할부금융(장/단기),월,10,단독,55000000,20,12,12,변동,44000000,44000000,Y,Y,2,9.3,5.0,0.7
