Gender,Age,Education,MaritalStatus,FamilyCount,ChildCount,IncomeType,IncomeClass,Occupation,OrgType,HouseOwnYN,DwellingType,HousingType,ResidenceClass,CarOwnedYN,ActiveLoanYN,LoanType,ApplWeek,ApplHour,Accompany,CarPrice,Deposit,LoanTerm,LoanRemainTerm,InterestType,LoanAmount,LoanRemainAmount,HomeAddMatchedYN,WorkAddMatchedYN,InquiryCount,IdChangedYears,InfoChangedYears,PhoneChangedYears
남성,44.9,전문대,독신,4,3,퇴직,5000만원~1억원 미만,기타,서비스,N,전세,아파트,최상,N,Y,할부금융(장/단기),화,16,단독,25000000,10,24,24,변동,22500000,22500000,Y,Y,0,11.3,14.0,2.6
남성,49.6,전문대,독신,2,1,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,양호,N,N,할부금융(장/단기),금,9,단독,43000000,20,48,48,변동,34400000,34400000,Y,Y,5,4.3,23.4,4.2
남성,51.2,대학교,독신,3,2,퇴직,3000만원~5000만원 미만,기타,무역,N,반전세,아파트,양호,N,Y,할부금융(장/단기),화,11,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,0,6.1,8.2,0.0
남성,51.3,중학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,아파트,최상,Y,Y,할부금융(장/단기),수,11,단독,52000000,20,36,36,변동,41600000,41600000,Y,Y,3,6.2,23.2,3.0
남성,51.5,대학교,이혼,1,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),수,14,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,6,6.3,30.0,4.7
여성,51.5,고등학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,무역,Y,가족공동,아파트,양호,Y,Y,할부금융(장/단기),월,13,친지,30000000,20,12,12,고정,24000000,24000000,Y,Y,2,6.4,29.4,3.5
여성,53.0,대학교,결혼,4,2,퇴직,3000만원 미만,기타,산업,Y,자가,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),화,10,단독,61000000,10,24,24,고정,54900000,54900000,Y,Y,0,6.2,24.5,0.0
남성,53.1,고등학교,이혼,1,0,퇴직,1억원 이상,기타,무역,N,전세,아파트,최상,Y,Y,할부금융(장/단기),금,16,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,0,0.1,3.3,0.0
남성,53.6,대학원,결혼,3,1,퇴직,3000만원 미만,기타,서비스,Y,자가,단독주택,양호,N,N,할부금융(장/단기),목,11,단독,43000000,20,36,36,변동,34400000,34400000,Y,Y,0,8.4,26.5,0.0
남성,54.0,고등학교,이혼,2,1,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,최상,Y,N,할부금융(장/단기),수,14,기타,20000000,20,36,36,고정,16000000,16000000,Y,Y,0,8.3,19.5,0.6
여성,55.1,대학교,독신,3,2,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,양호,N,Y,오토론,화,12,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,6,9.8,23.3,1.3
남성,55.1,전문대,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,월세,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),목,14,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,0,9.1,38.7,5.3
남성,55.2,대학교,결혼,5,3,퇴직,5000만원~1억원 미만,기타,외국계,N,반전세,아파트,최상,N,N,할부금융(장/단기),월,14,단독,52000000,30,48,48,혼합,36400000,36400000,Y,Y,0,9.9,0.4,1.7
남성,55.4,대학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,운송,Y,자가,오피스텔,양호,N,Y,오토론,수,11,단독,25000000,20,36,36,변동,20000000,20000000,Y,Y,4,8.9,14.9,3.6
남성,55.4,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,무역,N,반전세,아파트,양호,Y,Y,할부금융(장/단기),월,17,단독,43000000,10,24,24,고정,38700000,38700000,Y,Y,0,9.4,25.1,0.0
남성,55.5,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,단독주택,양호,Y,N,할부금융(장/단기),화,15,단독,15000000,10,24,24,변동,13500000,13500000,Y,Y,1,8.7,6.7,5.9
남성,55.7,전문대,독신,1,0,퇴직,3000만원 미만,기타,산업,N,월세,아파트,양호,Y,N,할부금융(장/단기),목,9,단독,15000000,10,24,24,변동,13500000,13500000,Y,Y,3,9.8,20.1,1.5
남성,55.8,고등학교,이혼,1,0,퇴직,3000만원~5000만원 미만,기타,무역,N,전세,아파트,양호,Y,Y,할부금융(장/단기),화,14,단독,30000000,0,12,12,변동,30000000,30000000,Y,Y,2,10.5,9.5,3.1
남성,55.8,고등학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,15,단독,15000000,10,24,24,변동,13500000,13500000,Y,Y,0,10.0,7.5,6.0
남성,56.0,고등학교,독신,3,2,퇴직,3000만원~5000만원 미만,기타,운송,Y,자가,오피스텔,양호,N,Y,할부금융(장/단기),금,14,단독,30000000,20,12,12,고정,24000000,24000000,Y,Y,1,10.4,27.4,3.8
남성,56.1,전문대,결혼,3,1,퇴직,1억원 이상,기타,외국계,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),목,16,단독,25000000,20,36,36,변동,20000000,20000000,Y,Y,1,10.8,24.7,4.5
남성,56.3,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,외국계,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),목,14,단독,25000000,30,36,36,고정,17500000,17500000,Y,Y,2,9.5,2.1,4.6
남성,56.5,대학교,결혼,5,3,퇴직,3000만원~5000만원 미만,기타,서비스,N,전세,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),월,18,단독,55000000,20,12,12,변동,44000000,44000000,Y,Y,2,11.0,18.4,0.1
남성,56.6,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,14,단독,52000000,20,12,12,변동,41600000,41600000,Y,Y,0,0.0,0.3,1.2
남성,56.7,대학교,결혼,5,3,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,단독주택,양호,N,Y,할부금융(장/단기),화,12,단독,30000000,20,48,48,혼합,24000000,24000000,Y,Y,2,11.5,22.4,0.7
남성,56.7,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,Y,N,할부금융(장/단기),수,13,단독,30000000,30,48,48,변동,21000000,21000000,Y,Y,2,11.2,25.2,4.5
남성,56.8,고등학교,독신,4,3,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,단독주택,양호,N,Y,할부금융(장/단기),화,10,단독,20000000,30,36,36,변동,14000000,14000000,Y,Y,4,7.4,26.5,5.8
남성,56.8,중학교,결혼,2,0,퇴직,3000만원 미만,기타,외국계,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),금,17,단독,20000000,10,24,24,변동,18000000,18000000,Y,Y,2,5.6,25.9,0.5
남성,56.9,대학원,결혼,2,0,퇴직,5000만원~1억원 미만,기타,산업,N,월세,아파트,최상,Y,Y,할부금융(장/단기),월,14,단독,25000000,10,24,24,변동,22500000,22500000,Y,Y,2,11.6,40.3,6.5
남성,57.3,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,운송,N,월세,오피스텔,평균,Y,Y,할부금융(장/단기),월,14,단독,52000000,20,36,36,변동,41600000,41600000,Y,Y,3,11.3,1.0,3.1
남성,57.4,대학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,양호,N,Y,할부금융(장/단기),목,12,단독,30000000,20,36,36,변동,24000000,24000000,Y,Y,1,6.6,18.1,3.2
남성,57.5,고등학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,N,Y,오토론,금,17,단독,20000000,20,48,48,변동,16000000,16000000,Y,Y,2,12.0,18.6,2.9
남성,57.7,대학교,결혼,5,3,퇴직,1억원 이상,기타,서비스,Y,자가,단독주택,양호,N,Y,할부금융(장/단기),월,13,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,5,12.3,12.2,4.6
남성,57.9,전문대,결혼,3,1,퇴직,3000만원 미만,기타,공공,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),금,11,단독,25000000,10,24,24,고정,22500000,22500000,Y,Y,2,12.6,25.6,0.0
남성,58.2,고등학교,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,단독주택,양호,N,Y,할부금융(장/단기),수,11,단독,52000000,20,12,12,변동,41600000,41600000,Y,Y,1,12.0,6.7,0.6
